food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
649733,none,gluten,garlic,main course,0.5225,4,"[""gluten free"", ""dairy free""]",137.0,3g,7g,14g
648279,none,tree nut,mushrooms,main course,2.0948,3,"[""dairy free"", ""pescatarian""]",463.0,70g,2g,37g
1153778,vegetarian,tree nut,mushrooms,main course,2.059,4,"[""gluten free"", ""lacto ovo vegetarian""]",297.0,41g,9g,14g
1095791,none,tree nut,beef,main course,3.422,2,"[""gluten free"", ""dairy free""]",494.0,67g,19g,15g
639401,gluten free,dairy,none,main course,2.2985,4,"[""gluten free"", ""dairy free""]",467.0,23g,20g,37g
715392,none,seafood,beef,main course,1.8368,8,"[""gluten free"", ""dairy free""]",282.0,30g,4g,32g
638534,ketogenic,seafood,mushrooms,main course,1.9841,8,"[""gluten free"", ""primal"", ""ketogenic""]",370.0,7g,26g,26g
655783,vegetarian,gluten,mushrooms,main course,3.1108,4,"[""gluten free"", ""lacto ovo vegetarian"", ""primal""]",534.0,37g,40g,12g
1096185,none,dairy,mushrooms,main course,2.2859,4,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",635.0,76g,31g,17g
654307,gluten free,dairy,garlic,main course,2.6207,4,"[""gluten free"", ""dairy free""]",396.0,28g,19g,24g
659081,none,none,garlic,main course,4.0262,4,"[""gluten free"", ""primal"", ""pescatarian""]",624.0,12g,34g,65g
659015,vegetarian,none,beef,main course,2.7901,4,"[""lacto ovo vegetarian""]",556.0,33g,42g,16g
715523,none,none,none,main course,3.6937,4,"[""gluten free""]",685.0,32g,37g,51g
641387,gluten free,seafood,beef,main course,0.8008,4,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",451.0,60g,14g,20g
633766,vegetarian,none,garlic,main course,1.8554,6,"[""lacto ovo vegetarian""]",480.0,74g,10g,24g
1096272,ketogenic,tree nut,garlic,main course,1.9232,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""fodmap friendly"", ""whole 30"", ""ketogenic""]",449.0,4g,37g,22g
633093,vegetarian,gluten,beef,main course,8.496,8,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian""]",497.0,71g,17g,12g
715428,none,tree nut,garlic,main course,1.7573,6,[],839.0,70g,52g,24g
637067,vegetarian,none,onion,main course,2.313,2,"[""gluten free"", ""lacto ovo vegetarian""]",380.0,32g,20g,19g
661556,ketogenic,dairy,mushrooms,main course,2.1888,4,"[""gluten free"", ""dairy free"", ""ketogenic""]",485.0,9g,35g,33g
716296,ketogenic,dairy,beef,main course,1.4305,6,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",395.0,7g,27g,29g
642332,vegetarian,seafood,beef,main course,2.1211,4,"[""lacto ovo vegetarian""]",433.0,31g,24g,22g
982382,gluten free,tree nut,garlic,main course,2.719,4,"[""gluten free"", ""dairy free""]",345.0,49g,7g,25g
643055,none,dairy,none,main course,4.1624,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30""]",298.0,3g,14g,37g
640134,none,seafood,none,main course,6.4919,6,"[""gluten free""]",993.0,89g,30g,90g
1697585,ketogenic,seafood,onion,main course,3.6484,2,"[""gluten free"", ""primal"", ""ketogenic""]",1021.0,32g,83g,42g
635032,ketogenic,dairy,beef,main course,2.3493,1,"[""gluten free"", ""dairy free"", ""fodmap friendly"", ""ketogenic""]",427.0,5g,32g,26g
715544,none,none,none,main course,3.5567,4,"[""gluten free"", ""primal""]",676.0,55g,44g,19g
648257,vegan,tree nut,mushrooms,main course,3.756,1,"[""gluten free"", ""dairy free"", ""paleolithic"", ""lacto ovo vegetarian"", ""primal"", ""whole 30"", ""vegan""]",223.0,49g,0.85g,15g
650239,ketogenic,seafood,none,main course,1.9876,2,"[""gluten free"", ""primal"", ""ketogenic""]",399.0,8g,32g,20g
648259,none,dairy,beef,main course,2.1928,2,"[""dairy free"", ""pescatarian""]",590.0,67g,31g,15g
665550,gluten free,seafood,garlic,main course,4.4302,12,"[""gluten free""]",384.0,3g,18g,50g
633541,ketogenic,tree nut,none,main course,1.1259,8,"[""dairy free"", ""ketogenic""]",517.0,11g,38g,31g
648368,gluten free,none,onion,main course,5.6328,1,"[""gluten free"", ""lacto ovo vegetarian""]",474.0,17g,32g,31g
